,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
162,2020 Toyota Camry SE,"60,281 mi.",Toyota of Tampa Bay on Fletcher,4.8,"(3,253 reviews)",4.8,(142 reviews),"$23,604", Predawn Gray Mica , Black , Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
163,2018 Toyota RAV4 LE,"36,916 mi.",Lithia Toyota of Springfield,4.8,"(1,030 reviews)",4.8,(770 reviews),"$33,995", Black , Black , All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
164,2016 Toyota Tundra SR5,"48,279 mi.",Toyota of Nashua,4.6,"(1,350 reviews)",4.8,(108 reviews),"$34,500", Blazing Blue Pearl , Graphite , Four-wheel Drive ,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC
165,2021 Toyota Tacoma TRD Sport,"17,358 mi.",AutoNation Toyota Pinellas Park,4.6,"(2,281 reviews)",4.8,(85 reviews),"$44,991", Midnight Black Metallic , – , Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC
166,2021 Toyota Tacoma SR5,"19,769 mi.",Temecula Valley Toyota,4.8,(876 reviews),4.8,(85 reviews),"$40,422", Cement , Cement , Rear-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC
167,2021 Toyota Corolla LE,"21,764 mi.",Larry H. Miller Toyota Peoria,4.7,"(2,307 reviews)",4.8,(74 reviews),"$27,495", Classic Silver Metallic , Light Gray , Front-wheel Drive ,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
168,2021 Toyota RAV4 XLE Premium,"15,062 mi.",Bert Ogden Toyota of Harlingen,3.5,(17 reviews),4.8,(102 reviews),"$40,760", Blue , Ash , Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
169,2019 Toyota RAV4 LE,"43,111 mi.",Sloane Toyota of Malvern,4.8,"(2,624 reviews)",4.6,(444 reviews),"$27,983", Ruby Flare Pearl , Nutmeg , All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
170,2021 Toyota Corolla LE,"20,127 mi.",Carlson Toyota,4.6,(566 reviews),4.8,(74 reviews),"$26,985", Classic Silver Metallic , Black , Front-wheel Drive ,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
171,2021 Toyota Corolla LE,"46,225 mi.",Sun Toyota,4.9,"(8,347 reviews)",4.8,(74 reviews),"$19,589", Barcelona Red Metallic , Gray , Front-wheel Drive ,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
